analysis_id,url_a,url_b,topic_a,topic_b,intent_a,intent_b,overlap_level,relationship,recommended_action,rationale,qa_status
CAN-001,https://example.com/vietnam-tours/,https://example.com/vietnam-tour-packages/,Vietnam Tours,Vietnam Tour Packages,Commercial Investigation,Commercial Investigation,Strong Overlap,Strong Overlap,Consolidate,Both pages target closely related commercial search intent and may provide substantially similar decision-making information,Reviewed
CAN-002,https://example.com/vietnam-itineraries/,https://example.com/vietnam-itinerary-10-days/,Vietnam Itineraries,Vietnam 10 Day Itinerary,Informational,Informational,Related,Related,Keep Separate,The broader page covers multiple itinerary options while the second page focuses on a specific trip duration,Reviewed
CAN-003,https://example.com/vietnam-travel-guide/,https://example.com/vietnam-destinations/,Vietnam Travel Guide,Vietnam Destinations,Informational,Informational,Related,Related,Differentiate,Both topics are related but can serve different purposes when one focuses on general trip planning and the other on destination discovery,Reviewed
CAN-004,https://example.com/hanoi-travel-guide/,https://example.com/things-to-do-in-hanoi/,Hanoi Travel Guide,Things to Do in Hanoi,Informational,Informational,Potential Overlap,Related,Differentiate,The pages address the same destination but can target different user needs through broader planning versus activity-focused content,Reviewed
CAN-005,https://example.com/vietnam-luxury-tours/,https://example.com/vietnam-private-tours/,Vietnam Luxury Tours,Vietnam Private Tours,Transactional,Transactional,Potential Overlap,Potential Overlap,Differentiate,Both pages are commercial but can remain separate if luxury positioning and private-tour intent are clearly distinguished,Reviewed
CAN-006,https://example.com/vietnam-family-tours/,https://example.com/vietnam-tours-for-families/,Vietnam Family Tours,Vietnam Tours for Families,Transactional,Transactional,Strong Overlap,Strong Overlap,Consolidate,The URLs target substantially the same audience and commercial search intent,Reviewed
CAN-007,https://example.com/vietnam-trip-cost/,https://example.com/vietnam-travel-budget/,Vietnam Trip Cost,Vietnam Travel Budget,Informational,Informational,Potential Overlap,Potential Overlap,Differentiate,The topics overlap but can be separated by defining cost estimation versus budget planning,Reviewed
CAN-008,https://example.com/vietnam-visa/,https://example.com/vietnam-visa-requirements/,Vietnam Visa,Vietnam Visa Requirements,Informational,Informational,Potential Overlap,Related,Differentiate,The broader guide can cover the overall visa process while the requirements page focuses specifically on eligibility and required documentation,Reviewed
CAN-009,https://example.com/halong-bay-tour/,https://example.com/halong-bay-travel-guide/,Ha Long Bay Tour,Ha Long Bay Travel Guide,Transactional,Informational,Related,Distinct,Keep Separate,The pages serve different stages of the user journey and different search intents,Reviewed
CAN-010,https://example.com/vietnam-7-day-itinerary/,https://example.com/vietnam-10-day-itinerary/,Vietnam 7 Day Itinerary,Vietnam 10 Day Itinerary,Informational,Informational,Related,Distinct,Keep Separate,The pages address different trip durations and can satisfy distinct planning needs,Reviewed
CAN-011,https://example.com/vietnam-beach-holidays/,https://example.com/vietnam-beach-tours/,Vietnam Beach Holidays,Vietnam Beach Tours,Commercial Investigation,Transactional,Potential Overlap,Related,Differentiate,The topics are related but the pages can target different planning and booking stages,Reviewed
CAN-012,https://example.com/vietnam-travel-cost/,https://example.com/vietnam-trip-cost-breakdown/,Vietnam Travel Cost,Vietnam Trip Cost Breakdown,Informational,Informational,Strong Overlap,Strong Overlap,Consolidate,The specific breakdown can be incorporated into a stronger comprehensive cost resource if both pages serve the same purpose,Reviewed
