issue_id,url,issue_type,http_status,severity,issue,evidence,recommendation,qa_status
TECH-001,https://example.com/old-tour/,HTTP Status,404,High,Important URL returns a not found response,HTTP 404 response,Redirect the URL to the most relevant active destination or restore the page where appropriate,Reviewed
TECH-002,https://example.com/tour-vietnam/,Indexability,200,High,Important page contains a noindex directive,Robots meta contains noindex,Remove the noindex directive if the page should be eligible for indexing,Reviewed
TECH-003,https://example.com/vietnam-tours/,Canonical,200,High,Canonical points to a different URL without a clear consolidation reason,Canonical target differs from current URL,Review canonical target and align it with the intended indexable URL,Reviewed
TECH-004,https://example.com/vietnam-tour/,Redirect,301,Medium,URL redirects through multiple intermediate URLs,Multiple redirect hops detected,Replace the redirect chain with a direct redirect to the final destination,Reviewed
TECH-005,https://example.com/hanoi-tour/,Metadata,200,Medium,Page is missing a unique title tag,Title element is absent,Add a descriptive title aligned with the page topic and search intent,Reviewed
TECH-006,https://example.com/halong-bay-tour/,Metadata,200,Low,Meta description is missing,Meta description element is absent,Add a useful and page-specific meta description,Reviewed
TECH-007,https://example.com/vietnam-guide/,Internal Linking,200,Medium,Internal link points to a broken destination,Linked URL returns 404,Replace or remove the broken internal link,Reviewed
TECH-008,https://example.com/old-vietnam-guide/,Redirect,302,Medium,Temporary redirect is used for a permanently moved page,HTTP 302 response to permanent destination,Review whether a permanent redirect is more appropriate,Reviewed
TECH-009,https://example.com/vietnam-itinerary/,Canonical,200,Medium,Canonical tag is missing,No canonical element detected,Add an appropriate canonical signal where required,Reviewed
TECH-010,https://example.com/private-page/,Indexability,200,High,Page is accessible but should not be indexed,Page is publicly accessible and lacks intended index restriction,Apply the appropriate indexability control based on the page's purpose,Reviewed
TECH-011,https://example.com/tour-category/,Metadata,200,Low,Page contains multiple H1 elements,Multiple H1 elements detected,Review heading structure and maintain a clear primary heading,Reviewed
TECH-012,https://example.com/server-error/,HTTP Status,500,High,Server error prevents successful page retrieval,HTTP 500 response,Investigate the server-side error and restore a successful response,Reviewed
TECH-013,https://example.com/redirect-a/,Redirect,301,High,Redirect points to another redirect instead of the final URL,Redirect destination returns another 3xx response,Update the redirect to point directly to the final destination,Reviewed
TECH-014,https://example.com/broken-tour/,Internal Linking,200,Medium,Page contains internal links to unavailable URLs,Multiple internal links return error responses,Update affected internal links to valid destinations,Reviewed
TECH-015,https://example.com/vietnam-travel/,Crawlability,200,Medium,Important content is difficult to discover through internal links,Limited internal links from relevant pages,Add contextual internal links from relevant high-value pages,Reviewed
