audit_id,url,page_type,primary_topic,search_intent,content_status,main_issue,issue_type,priority,recommendation,qa_status
AUD-001,https://example.com/vietnam-tours/,Category,Vietnam Tours,Transactional,Needs Improvement,Weak commercial intent alignment,Intent Mismatch,High,Strengthen tour selection information and transactional elements,Reviewed
AUD-002,https://example.com/vietnam-tour-packages/,Category,Vietnam Tour Packages,Commercial,Needs Improvement,Limited comparison information,Content Gap,High,Add package comparison points and clearer decision-support content,Reviewed
AUD-003,https://example.com/halong-bay-tour/,Product,Ha Long Bay Tour,Transactional,Good,Limited internal links,Internal Linking,Medium,Add contextual links to related Vietnam tours and supporting destination content,Reviewed
AUD-004,https://example.com/best-time-to-visit-vietnam/,Article,Best Time to Visit Vietnam,Informational,Needs Update,Seasonal information requires review,Outdated Content,High,Review dates and update seasonal travel information,Reviewed
AUD-005,https://example.com/vietnam-travel-guide/,Article,Vietnam Travel Guide,Informational,Needs Improvement,Important destination sections are missing,Content Gap,High,Expand destination coverage and improve content hierarchy,Reviewed
AUD-006,https://example.com/vietnam-visa/,Service,Vietnam Visa,Informational,Needs Update,Key information requires current verification,Outdated Content,High,Review current visa information and update outdated sections,Reviewed
AUD-007,https://example.com/hanoi-travel-guide/,Article,Hanoi Travel Guide,Informational,Good,Weak heading hierarchy,Structure Issue,Medium,Improve heading structure and section organization,Reviewed
AUD-008,https://example.com/vietnam-luxury-tours/,Category,Vietnam Luxury Tours,Transactional,Needs Improvement,Title and meta description do not clearly communicate value proposition,On-Page Issue,High,Rewrite title and meta description around the page's primary commercial intent,Reviewed
AUD-009,https://example.com/things-to-do-in-hanoi/,Article,Things to Do in Hanoi,Informational,Good,Related destination pages are poorly connected,Internal Linking,Medium,Add contextual internal links to Hanoi tours and supporting content,Reviewed
AUD-010,https://example.com/vietnam-itinerary-10-days/,Article,Vietnam 10 Day Itinerary,Informational,Needs Improvement,Topic overlaps with another itinerary page,Content Overlap,High,Compare search intent and differentiate or consolidate overlapping pages,Reviewed
AUD-011,https://example.com/vietnam-trip-cost/,Article,Vietnam Trip Cost,Informational,Needs Improvement,Cost information is too limited for the topic,Thin Content,Medium,Expand cost categories and provide clearer practical examples,Reviewed
AUD-012,https://example.com/vietnam-family-tours/,Category,Vietnam Family Tours,Transactional,Good,Supporting content is not sufficiently linked,Internal Linking,Medium,Add links to relevant family-tour products and destination guides,Reviewed
